@RELATION fundus

@ATTRIBUTE RED_AVG2 REAL
@ATTRIBUTE RED_MAX2 REAL
@ATTRIBUTE class {r,¬r}

@DATA
0.0119805482,0.0223990569,r
0.0059509203,0.0205521472,¬r
0.0038378211,0.0092850511,¬r
0.0157130151,0.0254965906,¬r
0.0093599547,0.0150099122,r
0.0012584138,0.0038045069,r
0.0068235643,0.0216104204,r
0.0079940565,0.0124814264,¬r
0.0017416769,0.0061652281,¬r
0.0059738643,0.0102675793,¬r
0.0039077213,0.0075329567,¬r
0.0087887740,0.0147710487,¬r
0.0060183767,0.0147013783,¬r
0.0036681716,0.0101580135,r
0.0126088262,0.0279195437,¬r
0.0076008123,0.0124746156,¬r
0.0103216740,0.0165521549,¬r
0.0086768220,0.0173237754,r
0.0000000000,0.0000000000,r
0.0001822600,0.0015188335,r
0.0085998793,0.0175015088,¬r
0.0064345992,0.0126582278,¬r
0.0094602523,0.0193605163,¬r
0.0006186205,0.0024744819,¬r
0.0091134442,0.0201224847,¬r
0.0083745275,0.0194824077,r
0.0063071029,0.0117889773,¬r
0.0000447361,0.0005964808,r
0.0075044669,0.0139964264,¬r
0.0060791706,0.0226201697,r
0.0103679907,0.0204439252,r
0.0102012809,0.0289722476,¬r
0.0180735604,0.0367802231,¬r
0.0058733558,0.0094830223,¬r
0.0062832643,0.0156712005,r
0.0000000000,0.0000000000,r
0.0060144709,0.0153753392,¬r
0.0067986994,0.0124150163,r
0.0098335855,0.0172465961,¬r
0.0029929034,0.0064794816,¬r
0.0050398724,0.0121212121,¬r
0.0033004318,0.0092535472,¬r
0.0137361071,0.0233684810,¬r
0.0116702686,0.0200679222,¬r
0.0065909091,0.0148484848,¬r
